fid,photo,filename,longitude,latitude,timestamp,Pipe_ID,pipe_types,air_count,oil_count,standpipe_count,box_count,steam_count
1,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135029.FL3.jpg,PhotonCamera_20260625_135029.FL3,"-73.9808851111111","40.72478488888889",2026/06/25 13:50:29,pipe_001,air,1,,,,
2,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135149.FL3.jpg,PhotonCamera_20260625_135149.FL3,"-73.98070838888889","40.72488530555556",2026/06/25 13:51:49,pipe_002,oil,,1,,,
3,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135319.FL3.jpg,PhotonCamera_20260625_135319.FL3,"-73.98116497222222","40.72527166666667",2026/06/25 13:53:19,pipe_003,oil,,1,,,
4,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135335.FL3.jpg,PhotonCamera_20260625_135335.FL3,"-73.98116497222222","40.72527166666667",2026/06/25 13:53:35,pipe_004,air,1,,,,
5,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135415.FL3.jpg,PhotonCamera_20260625_135415.FL3,"-73.98153830555556","40.72516269444445",2026/06/25 13:54:15,pipe_005,air,1,,,,
6,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135626.FL3.jpg,PhotonCamera_20260625_135626.FL3,"-73.98132933333333","40.725096138888894",2026/06/25 13:56:26,pipe_006,"air, oil",1,,,,
7,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135649.FL3.jpg,PhotonCamera_20260625_135649.FL3,"-73.98240630555556","40.72566580555556",2026/06/25 13:56:49,pipe_007,air,2,,,,
8,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135724.FL3.jpg,PhotonCamera_20260625_135724.FL3,"-73.98281469444444","40.725593805555555",2026/06/25 13:57:24,pipe_008,oil,,1,,,
9,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135745.FL3.jpg,PhotonCamera_20260625_135745.FL3,"-73.98281469444444","40.725593805555555",2026/06/25 13:57:45,pipe_009,air,2,,,,
10,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135822.FL3.jpg,PhotonCamera_20260625_135822.FL3,"-73.98159747222222","40.725231722222226",2026/06/25 13:58:22,pipe_010,"air, oil",2,1,,,
11,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_135940.FL3.jpg,PhotonCamera_20260625_135940.FL3,"-73.98376328055555","40.72612041666667",2026/06/25 13:59:40,pipe_011,standpipe,,,1,,
12,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140055.FL3.jpg,PhotonCamera_20260625_140055.FL3,"-73.98235277777778","40.72545658333333",2026/06/25 14:00:55,pipe_012,air,1,,,,
13,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140115.FL3.jpg,PhotonCamera_20260625_140115.FL3,"-73.9839761","40.72624919444445",2026/06/25 14:01:15,pipe_013,"standpipe, air",1,,1,,
14,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140235.FL3.jpg,PhotonCamera_20260625_140235.FL3,"-73.9841822","40.72632019444445",2026/06/25 14:02:35,pipe_014,oil,,1,,,
15,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140301.FL3.jpg,PhotonCamera_20260625_140301.FL3,"-73.98440575277777","40.726388722222225",2026/06/25 14:03:01,pipe_015,air,1,,,,
16,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140402.FL3.jpg,PhotonCamera_20260625_140402.FL3,"-73.98493380000001","40.726649111111115",2026/06/25 14:04:02,pipe_016,oil,,1,,,
17,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140438.FL3.jpg,PhotonCamera_20260625_140438.FL3,"-73.9850533","40.72668980555556",2026/06/25 14:04:38,pipe_017,oil,,1,,,
18,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140520.FL3.jpg,PhotonCamera_20260625_140520.FL3,"-73.985375","40.726776111111114",2026/06/25 14:05:20,pipe_018,standpipe,,,1,,
19,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140633.FL3.jpg,PhotonCamera_20260625_140633.FL3,"-73.98576560000001","40.726754",2026/06/25 14:06:33,pipe_019,air,1,,,,
20,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_140707.FL3.jpg,PhotonCamera_20260625_140707.FL3,"-73.9860576","40.726701",2026/06/25 14:07:07,pipe_020,air,1,,,,
21,/Users/ericsandwich/Documents/2026-06_Lede/LEDE_Project-01_Pipes_2026-06-28/photos/pipe_photos/PhotonCamera_20260625_141135.FL3.jpg,PhotonCamera_20260625_141135.FL3,"-73.98747811111112","40.72443638888889",2026/06/25 14:11:35,pipe_021,standpipe,,,1,,
